,name,genre,type,episodes,rating,members
0,Kimi no Na wa.,Drama,Movie,1,9.37,200630
0,Kimi no Na wa.,Romance,Movie,1,9.37,200630
0,Kimi no Na wa.,School,Movie,1,9.37,200630
0,Kimi no Na wa.,Supernatural,Movie,1,9.37,200630
1,Fullmetal Alchemist: Brotherhood,Action,TV,64,9.26,793665
1,Fullmetal Alchemist: Brotherhood,Adventure,TV,64,9.26,793665
1,Fullmetal Alchemist: Brotherhood,Drama,TV,64,9.26,793665
1,Fullmetal Alchemist: Brotherhood,Fantasy,TV,64,9.26,793665
1,Fullmetal Alchemist: Brotherhood,Magic,TV,64,9.26,793665
1,Fullmetal Alchemist: Brotherhood,Military,TV,64,9.26,793665
1,Fullmetal Alchemist: Brotherhood,Shounen,TV,64,9.26,793665
2,Gintama°,Action,TV,51,9.25,114262
2,Gintama°,Comedy,TV,51,9.25,114262
2,Gintama°,Historical,TV,51,9.25,114262
2,Gintama°,Parody,TV,51,9.25,114262
2,Gintama°,Samurai,TV,51,9.25,114262
2,Gintama°,Sci-Fi,TV,51,9.25,114262
2,Gintama°,Shounen,TV,51,9.25,114262
3,Steins;Gate,Sci-Fi,TV,24,9.17,673572
3,Steins;Gate,Thriller,TV,24,9.17,673572
4,Gintama&#039;,Action,TV,51,9.16,151266
4,Gintama&#039;,Comedy,TV,51,9.16,151266
4,Gintama&#039;,Historical,TV,51,9.16,151266
4,Gintama&#039;,Parody,TV,51,9.16,151266
4,Gintama&#039;,Samurai,TV,51,9.16,151266
4,Gintama&#039;,Sci-Fi,TV,51,9.16,151266
4,Gintama&#039;,Shounen,TV,51,9.16,151266
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy,TV,10,9.15,93351
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Drama,TV,10,9.15,93351
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,School,TV,10,9.15,93351
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Shounen,TV,10,9.15,93351
5,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Sports,TV,10,9.15,93351
6,Hunter x Hunter (2011),Action,TV,148,9.13,425855
6,Hunter x Hunter (2011),Adventure,TV,148,9.13,425855
6,Hunter x Hunter (2011),Shounen,TV,148,9.13,425855
6,Hunter x Hunter (2011),Super Power,TV,148,9.13,425855
7,Ginga Eiyuu Densetsu,Drama,OVA,110,9.11,80679
7,Ginga Eiyuu Densetsu,Military,OVA,110,9.11,80679
7,Ginga Eiyuu Densetsu,Sci-Fi,OVA,110,9.11,80679
7,Ginga Eiyuu Densetsu,Space,OVA,110,9.11,80679
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Action,Movie,1,9.1,72534
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Comedy,Movie,1,9.1,72534
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Historical,Movie,1,9.1,72534
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Parody,Movie,1,9.1,72534
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Samurai,Movie,1,9.1,72534
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Sci-Fi,Movie,1,9.1,72534
8,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Shounen,Movie,1,9.1,72534
9,Gintama&#039;: Enchousen,Action,TV,13,9.11,81109
9,Gintama&#039;: Enchousen,Comedy,TV,13,9.11,81109
9,Gintama&#039;: Enchousen,Historical,TV,13,9.11,81109
9,Gintama&#039;: Enchousen,Parody,TV,13,9.11,81109
9,Gintama&#039;: Enchousen,Samurai,TV,13,9.11,81109
9,Gintama&#039;: Enchousen,Sci-Fi,TV,13,9.11,81109
9,Gintama&#039;: Enchousen,Shounen,TV,13,9.11,81109
10,Clannad: After Story,Drama,TV,24,9.06,456749
10,Clannad: After Story,Fantasy,TV,24,9.06,456749
10,Clannad: After Story,Romance,TV,24,9.06,456749
10,Clannad: After Story,Slice of Life,TV,24,9.06,456749
10,Clannad: After Story,Supernatural,TV,24,9.06,456749
11,Koe no Katachi,Drama,Movie,1,9.05,102733
11,Koe no Katachi,School,Movie,1,9.05,102733
11,Koe no Katachi,Shounen,Movie,1,9.05,102733
12,Gintama,Action,TV,201,9.04,336376
12,Gintama,Comedy,TV,201,9.04,336376
12,Gintama,Historical,TV,201,9.04,336376
12,Gintama,Parody,TV,201,9.04,336376
12,Gintama,Samurai,TV,201,9.04,336376
12,Gintama,Sci-Fi,TV,201,9.04,336376
12,Gintama,Shounen,TV,201,9.04,336376
13,Code Geass: Hangyaku no Lelouch R2,Action,TV,25,8.98,572888
13,Code Geass: Hangyaku no Lelouch R2,Drama,TV,25,8.98,572888
13,Code Geass: Hangyaku no Lelouch R2,Mecha,TV,25,8.98,572888
13,Code Geass: Hangyaku no Lelouch R2,Military,TV,25,8.98,572888
13,Code Geass: Hangyaku no Lelouch R2,Sci-Fi,TV,25,8.98,572888
13,Code Geass: Hangyaku no Lelouch R2,Super Power,TV,25,8.98,572888
14,Haikyuu!! Second Season,Comedy,TV,25,8.93,179342
14,Haikyuu!! Second Season,Drama,TV,25,8.93,179342
14,Haikyuu!! Second Season,School,TV,25,8.93,179342
14,Haikyuu!! Second Season,Shounen,TV,25,8.93,179342
14,Haikyuu!! Second Season,Sports,TV,25,8.93,179342
15,Sen to Chihiro no Kamikakushi,Adventure,Movie,1,8.93,466254
15,Sen to Chihiro no Kamikakushi,Drama,Movie,1,8.93,466254
15,Sen to Chihiro no Kamikakushi,Supernatural,Movie,1,8.93,466254
16,Shigatsu wa Kimi no Uso,Drama,TV,22,8.92,416397
16,Shigatsu wa Kimi no Uso,Music,TV,22,8.92,416397
16,Shigatsu wa Kimi no Uso,Romance,TV,22,8.92,416397
16,Shigatsu wa Kimi no Uso,School,TV,22,8.92,416397
16,Shigatsu wa Kimi no Uso,Shounen,TV,22,8.92,416397
17,Mushishi Zoku Shou 2nd Season,Adventure,TV,10,8.88,75894
17,Mushishi Zoku Shou 2nd Season,Fantasy,TV,10,8.88,75894
17,Mushishi Zoku Shou 2nd Season,Historical,TV,10,8.88,75894
17,Mushishi Zoku Shou 2nd Season,Mystery,TV,10,8.88,75894
17,Mushishi Zoku Shou 2nd Season,Seinen,TV,10,8.88,75894
17,Mushishi Zoku Shou 2nd Season,Slice of Life,TV,10,8.88,75894
17,Mushishi Zoku Shou 2nd Season,Supernatural,TV,10,8.88,75894
18,Ookami Kodomo no Ame to Yuki,Fantasy,Movie,1,8.84,226193
18,Ookami Kodomo no Ame to Yuki,Slice of Life,Movie,1,8.84,226193
19,Code Geass: Hangyaku no Lelouch,Action,TV,25,8.83,715151
19,Code Geass: Hangyaku no Lelouch,Mecha,TV,25,8.83,715151
19,Code Geass: Hangyaku no Lelouch,Military,TV,25,8.83,715151
19,Code Geass: Hangyaku no Lelouch,School,TV,25,8.83,715151
19,Code Geass: Hangyaku no Lelouch,Sci-Fi,TV,25,8.83,715151
19,Code Geass: Hangyaku no Lelouch,Super Power,TV,25,8.83,715151
20,Hajime no Ippo,Comedy,TV,75,8.83,157670
20,Hajime no Ippo,Drama,TV,75,8.83,157670
20,Hajime no Ippo,Shounen,TV,75,8.83,157670
20,Hajime no Ippo,Sports,TV,75,8.83,157670
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Action,OVA,4,8.83,129307
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Drama,OVA,4,8.83,129307
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Historical,OVA,4,8.83,129307
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Martial Arts,OVA,4,8.83,129307
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Romance,OVA,4,8.83,129307
21,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai,OVA,4,8.83,129307
22,Cowboy Bebop,Action,TV,26,8.82,486824
22,Cowboy Bebop,Adventure,TV,26,8.82,486824
22,Cowboy Bebop,Comedy,TV,26,8.82,486824
22,Cowboy Bebop,Drama,TV,26,8.82,486824
22,Cowboy Bebop,Sci-Fi,TV,26,8.82,486824
22,Cowboy Bebop,Space,TV,26,8.82,486824
23,One Punch Man,Action,TV,12,8.82,552458
23,One Punch Man,Comedy,TV,12,8.82,552458
23,One Punch Man,Parody,TV,12,8.82,552458
23,One Punch Man,Sci-Fi,TV,12,8.82,552458
23,One Punch Man,Seinen,TV,12,8.82,552458
23,One Punch Man,Super Power,TV,12,8.82,552458
23,One Punch Man,Supernatural,TV,12,8.82,552458
24,Mononoke Hime,Action,Movie,1,8.81,339556
24,Mononoke Hime,Adventure,Movie,1,8.81,339556
24,Mononoke Hime,Fantasy,Movie,1,8.81,339556
25,Suzumiya Haruhi no Shoushitsu,Comedy,Movie,1,8.81,240297
25,Suzumiya Haruhi no Shoushitsu,Mystery,Movie,1,8.81,240297
25,Suzumiya Haruhi no Shoushitsu,Romance,Movie,1,8.81,240297
25,Suzumiya Haruhi no Shoushitsu,School,Movie,1,8.81,240297
25,Suzumiya Haruhi no Shoushitsu,Sci-Fi,Movie,1,8.81,240297
25,Suzumiya Haruhi no Shoushitsu,Supernatural,Movie,1,8.81,240297
26,Monogatari Series: Second Season,Comedy,TV,26,8.8,205959
26,Monogatari Series: Second Season,Mystery,TV,26,8.8,205959
26,Monogatari Series: Second Season,Romance,TV,26,8.8,205959
26,Monogatari Series: Second Season,Supernatural,TV,26,8.8,205959
26,Monogatari Series: Second Season,Vampire,TV,26,8.8,205959
27,Mushishi Zoku Shou,Adventure,TV,10,8.8,101351
27,Mushishi Zoku Shou,Fantasy,TV,10,8.8,101351
27,Mushishi Zoku Shou,Historical,TV,10,8.8,101351
27,Mushishi Zoku Shou,Mystery,TV,10,8.8,101351
27,Mushishi Zoku Shou,Seinen,TV,10,8.8,101351
27,Mushishi Zoku Shou,Slice of Life,TV,10,8.8,101351
27,Mushishi Zoku Shou,Supernatural,TV,10,8.8,101351
28,Mushishi,Adventure,TV,26,8.78,300030
28,Mushishi,Fantasy,TV,26,8.78,300030
28,Mushishi,Historical,TV,26,8.78,300030
28,Mushishi,Mystery,TV,26,8.78,300030
28,Mushishi,Seinen,TV,26,8.78,300030
28,Mushishi,Slice of Life,TV,26,8.78,300030
28,Mushishi,Supernatural,TV,26,8.78,300030
29,Tengen Toppa Gurren Lagann,Action,TV,27,8.78,562962
29,Tengen Toppa Gurren Lagann,Adventure,TV,27,8.78,562962
29,Tengen Toppa Gurren Lagann,Comedy,TV,27,8.78,562962
29,Tengen Toppa Gurren Lagann,Mecha,TV,27,8.78,562962
29,Tengen Toppa Gurren Lagann,Sci-Fi,TV,27,8.78,562962
30,Great Teacher Onizuka,Comedy,TV,43,8.77,268487
30,Great Teacher Onizuka,Drama,TV,43,8.77,268487
30,Great Teacher Onizuka,School,TV,43,8.77,268487
30,Great Teacher Onizuka,Shounen,TV,43,8.77,268487
30,Great Teacher Onizuka,Slice of Life,TV,43,8.77,268487
31,Natsume Yuujinchou Go,Drama,TV,13,8.76,38865
31,Natsume Yuujinchou Go,Fantasy,TV,13,8.76,38865
31,Natsume Yuujinchou Go,Shoujo,TV,13,8.76,38865
31,Natsume Yuujinchou Go,Slice of Life,TV,13,8.76,38865
31,Natsume Yuujinchou Go,Supernatural,TV,13,8.76,38865
32,Hajime no Ippo: New Challenger,Comedy,TV,26,8.75,88995
32,Hajime no Ippo: New Challenger,Drama,TV,26,8.75,88995
32,Hajime no Ippo: New Challenger,Shounen,TV,26,8.75,88995
32,Hajime no Ippo: New Challenger,Sports,TV,26,8.75,88995
33,Mushishi Zoku Shou: Suzu no Shizuku,Adventure,Movie,1,8.75,32266
33,Mushishi Zoku Shou: Suzu no Shizuku,Fantasy,Movie,1,8.75,32266
33,Mushishi Zoku Shou: Suzu no Shizuku,Historical,Movie,1,8.75,32266
33,Mushishi Zoku Shou: Suzu no Shizuku,Mystery,Movie,1,8.75,32266
33,Mushishi Zoku Shou: Suzu no Shizuku,Seinen,Movie,1,8.75,32266
33,Mushishi Zoku Shou: Suzu no Shizuku,Slice of Life,Movie,1,8.75,32266
33,Mushishi Zoku Shou: Suzu no Shizuku,Supernatural,Movie,1,8.75,32266
34,Natsume Yuujinchou Shi,Drama,TV,13,8.75,98431
34,Natsume Yuujinchou Shi,Fantasy,TV,13,8.75,98431
34,Natsume Yuujinchou Shi,Shoujo,TV,13,8.75,98431
34,Natsume Yuujinchou Shi,Slice of Life,TV,13,8.75,98431
34,Natsume Yuujinchou Shi,Supernatural,TV,13,8.75,98431
35,Howl no Ugoku Shiro,Adventure,Movie,1,8.74,333186
35,Howl no Ugoku Shiro,Drama,Movie,1,8.74,333186
35,Howl no Ugoku Shiro,Fantasy,Movie,1,8.74,333186
35,Howl no Ugoku Shiro,Romance,Movie,1,8.74,333186
36,Fate/Zero 2nd Season,Action,TV,12,8.73,340973
36,Fate/Zero 2nd Season,Fantasy,TV,12,8.73,340973
36,Fate/Zero 2nd Season,Supernatural,TV,12,8.73,340973
36,Fate/Zero 2nd Season,Thriller,TV,12,8.73,340973
37,Kizumonogatari II: Nekketsu-hen,Action,Movie,1,8.73,34347
37,Kizumonogatari II: Nekketsu-hen,Mystery,Movie,1,8.73,34347
37,Kizumonogatari II: Nekketsu-hen,Supernatural,Movie,1,8.73,34347
37,Kizumonogatari II: Nekketsu-hen,Vampire,Movie,1,8.73,34347
38,Monster,Drama,TV,74,8.72,247562
38,Monster,Horror,TV,74,8.72,247562
38,Monster,Mystery,TV,74,8.72,247562
38,Monster,Police,TV,74,8.72,247562
38,Monster,Psychological,TV,74,8.72,247562
38,Monster,Seinen,TV,74,8.72,247562
38,Monster,Thriller,TV,74,8.72,247562
39,Bakuman. 3rd Season,Comedy,TV,25,8.71,133620
39,Bakuman. 3rd Season,Drama,TV,25,8.71,133620
39,Bakuman. 3rd Season,Romance,TV,25,8.71,133620
39,Bakuman. 3rd Season,Shounen,TV,25,8.71,133620
40,Death Note,Mystery,TV,37,8.71,1013917
40,Death Note,Police,TV,37,8.71,1013917
40,Death Note,Psychological,TV,37,8.71,1013917
40,Death Note,Supernatural,TV,37,8.71,1013917
40,Death Note,Thriller,TV,37,8.71,1013917
41,Gintama°: Aizome Kaori-hen,Comedy,OVA,2,8.69,16947
41,Gintama°: Aizome Kaori-hen,Parody,OVA,2,8.69,16947
42,Ansatsu Kyoushitsu (TV) 2nd Season,Action,TV,25,8.68,176475
42,Ansatsu Kyoushitsu (TV) 2nd Season,Comedy,TV,25,8.68,176475
42,Ansatsu Kyoushitsu (TV) 2nd Season,School,TV,25,8.68,176475
42,Ansatsu Kyoushitsu (TV) 2nd Season,Shounen,TV,25,8.68,176475
43,Haikyuu!!,Comedy,TV,25,8.68,284498
43,Haikyuu!!,Drama,TV,25,8.68,284498
43,Haikyuu!!,School,TV,25,8.68,284498
43,Haikyuu!!,Shounen,TV,25,8.68,284498
43,Haikyuu!!,Sports,TV,25,8.68,284498
44,Hajime no Ippo: Rising,Comedy,TV,25,8.68,66756
44,Hajime no Ippo: Rising,Drama,TV,25,8.68,66756
44,Hajime no Ippo: Rising,Shounen,TV,25,8.68,66756
44,Hajime no Ippo: Rising,Sports,TV,25,8.68,66756
